,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
0,Kavaratti,IN,80.64,10.5669,72.642,broken clouds,Green leaf
2,Sanwer,IN,74.05,22.9833,75.8333,overcast clouds,STARiHOTELS Hari Phatak Indore
3,Baghdad,IQ,75.11,33.3406,44.4009,clear sky,Baghdad Hotel
6,Nizwa,OM,77.7,22.9333,57.5333,scattered clouds,Orient Apartments
9,Hobyo,SO,76.84,5.3505,48.5268,broken clouds,Halane Hotel and Restaurent
10,Marawi,PH,74.84,7.9986,124.2928,overcast clouds,Derogongan Residence
11,Keti Bandar,PK,80.1,24.1447,67.4497,overcast clouds,Haji laloo memon house
13,Mandal,IN,76.73,25.45,74.5667,broken clouds,Surpanch saab ki vatika
18,Manali,IN,77.09,13.1667,80.2667,very heavy rain,Sarathy Lodge
20,Barentu,ER,75.2,15.1139,37.5928,broken clouds,
21,Am Timan,TD,74.64,11.0297,20.2827,broken clouds,Palais du chef Canton Salamt
23,Kulhudhuffushi,MV,80.89,6.6221,73.07,overcast clouds,Haajy Guest House 1
29,Garowe,SO,77.02,8.4054,48.4845,overcast clouds,Curubo Hotel
31,Victoria,HK,84.38,22.2855,114.1577,broken clouds,Mini Central
33,Bandarbeyla,SO,76.57,9.4942,50.8122,broken clouds,JABIR HOTEL
34,Diplo,PK,80.19,24.4667,69.584,few clouds,Mukhi Ahmed Ali Residency
36,Guider,CM,73.6,9.9342,13.9486,light rain,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
37,Ugoofaaru,MV,81.5,5.6667,73.0,overcast clouds,Ungoofaaru Inn
39,Lagdo,CM,71.62,9.05,13.7333,moderate rain,
42,Jalu,LY,73.71,29.0331,21.5482,clear sky,صاحبة الفخامة
45,Mecca,SA,83.62,21.4267,39.8261,clear sky,"Makkah Clock Royal Tower, A Fairmont Hotel"
48,Oum Hadjer,TD,84.49,13.2954,19.6966,broken clouds,
51,Chabahar,IR,80.11,25.2919,60.643,clear sky,هتل گدروشیا
53,Amudalavalasa,IN,76.3,18.4167,83.9,overcast clouds,Sri Venkateswara Kalyanamandapam
55,Marsaxlokk,MT,70.09,35.8419,14.5431,scattered clouds,Water's Edge
56,Mormugao,IN,78.21,15.4,73.8,light rain,Coconut Creek Resort
57,Chatakonda,IN,74.66,17.55,80.65,overcast clouds,Hotel Surya Palace
61,Bilma,NE,87.24,18.6853,12.9164,few clouds,Expeditions Ténére voyages
62,Salalah,OM,77.09,17.0151,54.0924,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
63,Asyut,EG,75.87,27.181,31.1837,clear sky,فندق ميس إيجيبت Miss Egypt Hotel
73,Umm Lajj,SA,85.15,25.0213,37.2685,clear sky,Moon light Furnished Units
75,Thinadhoo,MV,82.29,0.5333,72.9333,overcast clouds,
76,Tahta,EG,77.67,26.7693,31.5021,clear sky,فندق الزيات
80,Sur,OM,81.45,22.5667,59.5289,clear sky,Sur Plaza Hotel
82,Abnub,EG,75.63,27.2696,31.1511,clear sky,دوار ال عبد الجواد شرق البلد بابنوب
85,Tessalit,ML,89.6,20.1986,1.0114,broken clouds,
87,Hurghada,EG,79.0,27.2574,33.8129,clear sky,Sea Star Beau Rivage Hotel
92,Bela,IN,72.72,25.9333,81.9833,overcast clouds,Raj Bhawan
96,Dera Bugti,PK,79.14,29.0307,69.151,clear sky,Nawab Bugti House
97,Jam Sahib,PK,82.67,26.2958,68.6292,clear sky,Al Madina
101,Tabas,IR,72.73,33.5959,56.9244,clear sky,شرکت معماری مهراز شایگان آراد
103,Dhidhdhoo,MV,81.0,6.8833,73.1,overcast clouds,Dhidhoo beach
105,Misratah,LY,73.65,32.3754,15.0925,scattered clouds,Almasa Hotel
110,Tukrah,LY,72.03,32.5341,20.5791,clear sky,Lagrota restaurant
115,Minab,IR,83.01,27.1467,57.0801,clear sky,Bam campground
116,Jibuti,DJ,79.63,11.5,42.5,scattered clouds,Orchid Main Camp Goubet
118,Attur,IN,75.69,11.6,78.6167,moderate rain,Sundaresan CSC centre
119,Esna,EG,84.47,25.2934,32.554,scattered clouds,Orient Star Dahabyia Isna 05 Nights Each Sunday
120,Jalalabad,AF,73.6,34.4265,70.4515,clear sky,Waheed
127,Manadhoo,MV,81.5,5.7667,73.3833,overcast clouds,Bon Abri maldives
134,Aswan,EG,87.3,24.0934,32.907,broken clouds,Nuba Nile
135,Agra,IN,75.4,27.1833,78.0167,broken clouds,Hotel Tourist Rest House
136,Sawakin,SD,84.52,19.1059,37.3321,clear sky,فندق الدويم
140,Ouesso,CG,71.22,1.6136,16.0517,light rain,ABENIE Hotel
142,Dwarka,IN,80.94,22.2394,68.9678,clear sky,Hotel Narayan Avezika Comfort
143,Srivardhan,IN,78.04,18.0333,73.0167,broken clouds,Savli Resort/Hotel - Shrivardhan
147,Vuyyuru,IN,74.41,16.3667,80.85,light rain,RAMA CHANDRA REST HOUSE
148,Abohar,IN,74.48,30.15,74.1833,clear sky,OYO 37129 Hotel Piccadily
149,Port Blair,IN,79.97,11.6667,92.75,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
154,Luba,GQ,76.89,3.4568,8.5547,light rain,
155,Doha,QA,87.78,25.2867,51.5333,clear sky,Mövenpick Doha
160,Xuddur,SO,71.98,4.1213,43.8894,broken clouds,Banjanay Hotel
162,Eydhafushi,MV,81.39,5.1033,73.0708,overcast clouds,Soneva Fushi
164,Eyl,SO,77.2,7.9803,49.8164,overcast clouds,EYL AQUE SYSTEM
173,Gayeri,BF,81.09,12.6497,0.4931,scattered clouds,
174,Balkanabat,TM,70.48,39.5108,54.3671,clear sky,Nebitchi Hotel
178,Darnah,LY,71.58,32.767,22.6367,clear sky,فندق الفردوس
181,Agadez,NE,83.26,19.75,10.25,clear sky,
182,Waw,SS,70.75,7.7029,27.9953,overcast clouds,Universal Gab Hotel
183,Berbera,SO,86.29,10.4396,45.0143,overcast clouds,IBCO REAL ESTATE PROPERTY
191,Yenagoa,NG,74.8,4.9247,6.2642,moderate rain,Aridolf Resort Wellness and Spa
200,Mangrol,IN,79.86,21.1167,70.1167,broken clouds,Hotel The Royal Honours
209,Aduturai,IN,76.59,11.0147,79.4791,very heavy rain,Mantra Koodam - CGH Earth
210,Sadiqabad,PK,79.34,28.3062,70.1307,clear sky,MIDWAY HOTEL & RESTAURANT
214,Ndele,CF,70.29,8.4109,20.6473,overcast clouds,
215,Marabba,SD,76.48,12.35,32.1833,overcast clouds,
217,Nalut,LY,70.97,30.3333,10.85,clear sky,
219,Yanam,IN,76.1,16.7333,82.2167,light rain,The Regency Hotel
220,Najran,SA,70.7,17.4924,44.1277,broken clouds,محمد هادي ال فطيح
224,Magaria,NE,85.8,12.9983,8.9099,overcast clouds,Chez Honorable Chapiou
238,Marsa Matruh,EG,71.71,31.3525,27.2453,clear sky,Beau Site
240,Haldibari,IN,75.16,26.3333,88.7667,overcast clouds,Rahul and Debika
241,Marzuq,YE,71.74,14.4,46.4667,scattered clouds,حيد القفلة
244,Allapalli,IN,72.95,19.4167,80.0667,broken clouds,"Hotel IK Residency, GUEST HOUSE AC NON AC"
245,Lodwar,KE,84.94,3.1191,35.5973,overcast clouds,Solmar Gracious Hotel
247,Bardiyah,LY,71.2,31.7561,25.0865,clear sky,بورتو بردية
248,Savalou,BJ,73.13,7.9281,1.9756,broken clouds,Hotel F&F
249,Bajil,YE,86.5,15.0584,43.2851,scattered clouds,فندق حضرموت
251,Hambantota,LK,78.15,6.1241,81.1185,overcast clouds,Bungalow 63
253,Bafq,IR,71.49,31.6128,55.4107,clear sky,Alamdar Hotel
