,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kavaratti,IN,10.5669,72.642,80.64,78,78,13.96,broken clouds
1,Mehamn,NO,71.0357,27.8492,42.71,81,100,10.36,overcast clouds
2,Sanwer,IN,22.9833,75.8333,74.05,93,100,5.21,overcast clouds
3,Baghdad,IQ,33.3406,44.4009,75.11,35,0,3.44,clear sky
4,Sarahan,IN,31.5167,77.8,53.46,73,15,3.76,few clouds
5,Svetlyy,RU,54.675,20.1347,51.85,77,44,15.48,scattered clouds
6,Nizwa,OM,22.9333,57.5333,77.7,48,41,1.66,scattered clouds
7,Yar-Sale,RU,66.8333,70.8333,32.63,91,48,10.87,scattered clouds
8,Dikson,RU,73.5069,80.5464,30.13,81,96,10.65,overcast clouds
9,Hobyo,SO,5.3505,48.5268,76.84,87,54,15.93,broken clouds
10,Marawi,PH,7.9986,124.2928,74.84,81,98,2.55,overcast clouds
11,Keti Bandar,PK,24.1447,67.4497,80.1,77,89,13.82,overcast clouds
12,Jijiga,ET,9.35,42.8,63.07,73,52,3.62,broken clouds
13,Mandal,IN,25.45,74.5667,76.73,77,69,4.12,broken clouds
14,Balkhash,KZ,46.844,74.9804,44.89,45,0,14.14,clear sky
15,Gbely,SK,48.718,17.1163,56.71,79,100,5.95,overcast clouds
16,Karakol,KG,42.4907,78.3936,41.9,51,63,4.68,broken clouds
17,Zapolyarnyy,RU,69.4154,30.8136,38.48,92,100,6.89,overcast clouds
18,Manali,IN,13.1667,80.2667,77.09,81,100,10.58,very heavy rain
19,Yarega,RU,63.4354,53.5765,41.7,94,100,5.48,light rain
20,Barentu,ER,15.1139,37.5928,75.2,37,67,1.61,broken clouds
21,Am Timan,TD,11.0297,20.2827,74.64,73,76,4.85,broken clouds
22,Kyzyl-Suu,KG,42.3414,78.0056,43.81,50,81,6.04,broken clouds
23,Kulhudhuffushi,MV,6.6221,73.07,80.89,79,100,18.57,overcast clouds
24,Great Yarmouth,GB,52.6083,1.7305,52.05,68,4,22.82,clear sky
25,Beloretsk,RU,53.9631,58.3981,42.46,55,100,2.86,overcast clouds
26,Sayyan,YE,15.1718,44.3244,60.33,35,36,8.66,scattered clouds
27,Oristano,IT,39.9,8.6,63.93,64,13,6.55,few clouds
28,Sorland,NO,67.667,12.6934,48.06,86,100,21.77,light rain
29,Garowe,SO,8.4054,48.4845,77.02,67,93,15.57,overcast clouds
30,Klyuchi,RU,52.2667,79.1667,45.36,83,93,7.81,overcast clouds
31,Victoria,HK,22.2855,114.1577,84.38,78,54,8.99,broken clouds
32,Harnosand,SE,62.6323,17.9379,57.22,94,100,25.08,overcast clouds
33,Bandarbeyla,SO,9.4942,50.8122,76.57,86,72,22.97,broken clouds
34,Diplo,PK,24.4667,69.584,80.19,67,13,13.02,few clouds
35,Vysokovsk,RU,56.3167,36.55,40.8,97,94,5.12,overcast clouds
36,Guider,CM,9.9342,13.9486,73.6,86,58,5.26,light rain
37,Ugoofaaru,MV,5.6667,73.0,81.5,78,100,18.77,overcast clouds
38,Ylivieska,FI,64.0833,24.55,53.31,97,100,12.88,light rain
39,Lagdo,CM,9.05,13.7333,71.62,96,53,0.18,moderate rain
40,Kamenka,RU,51.3223,42.7678,46.6,85,85,11.12,overcast clouds
41,Mering,DE,48.2656,10.9846,57.97,77,75,6.91,broken clouds
42,Jalu,LY,29.0331,21.5482,73.71,43,6,13.22,clear sky
43,Ostrovnoy,RU,68.0531,39.5131,47.5,93,99,13.04,overcast clouds
44,Bridlington,GB,54.0831,-0.1919,50.29,73,25,22.88,scattered clouds
45,Mecca,SA,21.4267,39.8261,83.62,33,0,5.55,clear sky
46,Khalkhal,IR,37.6189,48.5258,54.52,48,0,3.18,clear sky
47,Lukovetskiy,RU,64.2956,41.9211,45.72,96,100,3.62,overcast clouds
48,Oum Hadjer,TD,13.2954,19.6966,84.49,45,59,3.29,broken clouds
49,Shemonaikha,KZ,50.6328,81.9056,41.67,49,91,3.38,overcast clouds
50,Biskupiec,PL,53.8647,20.9569,42.62,81,63,9.24,broken clouds
51,Chabahar,IR,25.2919,60.643,80.11,75,0,4.18,clear sky
52,Asosa,ET,10.0667,34.5333,59.72,95,97,1.99,moderate rain
53,Amudalavalasa,IN,18.4167,83.9,76.3,94,100,3.44,overcast clouds
54,Gornopravdinsk,RU,60.05,69.9,41.43,98,99,5.37,overcast clouds
55,Marsaxlokk,MT,35.8419,14.5431,70.09,73,40,2.3,scattered clouds
56,Mormugao,IN,15.4,73.8,78.21,87,92,9.73,light rain
57,Chatakonda,IN,17.55,80.65,74.66,98,100,3.42,overcast clouds
58,Voyinka,UA,45.8699,33.9914,55.26,67,98,5.59,overcast clouds
59,Tromso,NO,69.6496,18.957,42.39,87,100,2.3,overcast clouds
60,Vuktyl,RU,63.8567,57.3094,41.79,94,100,8.28,light rain
61,Bilma,NE,18.6853,12.9164,87.24,19,24,4.54,few clouds
